"date","open","high","low","close"
"2022-11-11","140.99","142.48","138.48","138.80"
"2022-11-10","146.41","146.59","140.21","140.97"
"2022-11-09","145.69","146.79","145.18","146.41"
"2022-11-08","146.61","146.93","145.31","145.69"
"2022-11-07","146.60","147.56","146.10","146.61"
"2022-11-04","148.25","148.41","146.56","146.62"
"2022-11-03","147.89","148.44","147.12","148.28"
"2022-11-02","148.25","148.37","145.66","147.93"
"2022-11-01","148.74","148.82","146.99","148.24"
"2022-10-31","147.46","148.86","143.65","148.74"
"2022-10-28","146.28","147.86","145.99","147.48"
"2022-10-27","146.37","146.94","145.12","146.32"
"2022-10-26","147.93","148.41","146.22","146.39"
"2022-10-25","148.97","149.10","147.53","147.93"
"2022-10-24","147.66","149.68","145.53","149.01"
"2022-10-21","150.14","151.94","146.22","147.68"
"2022-10-20","149.88","150.28","149.56","150.15"
"2022-10-19","149.25","149.91","149.13","149.90"
"2022-10-18","149.03","149.32","148.66","149.23"
"2022-10-17","148.78","149.09","148.44","149.04"
"2022-10-14","147.15","148.88","147.04","148.75"
"2022-10-13","146.91","147.68","146.52","147.22"
"2022-10-12","145.86","146.97","145.69","146.89"
"2022-10-11","145.72","145.90","145.43","145.86"
"2022-10-10","145.40","145.84","145.24","145.72"
"2022-10-07","145.14","145.44","144.73","145.32"
"2022-10-06","144.66","145.14","144.40","145.14"
"2022-10-05","144.12","144.84","143.54","144.69"
"2022-10-04","144.55","144.94","143.90","144.14"
"2022-10-03","144.74","145.20","144.16","144.56"
"2022-09-30","144.41","144.81","144.21","144.72"
"2022-09-29","144.30","144.79","144.06","144.42"
"2022-09-28","144.80","144.87","143.91","144.12"
"2022-09-27","144.75","144.91","144.06","144.81"
"2022-09-26","143.34","144.79","143.26","144.74"
"2022-09-23","142.37","143.46","141.76","143.34"
"2022-09-22","144.07","145.89","140.36","142.37"
"2022-09-21","143.73","144.69","143.34","144.08"
"2022-09-20","143.21","143.92","142.95","143.72"
"2022-09-19","142.94","143.64","142.65","143.20"
"2022-09-16","143.50","143.69","142.85","142.93"
"2022-09-15","143.15","143.81","142.80","143.50"
"2022-09-14","144.58","144.96","142.56","143.16"
"2022-09-13","142.84","144.68","141.66","144.56"
"2022-09-12","142.50","143.49","142.03","142.84"
"2022-09-09","144.11","144.12","141.50","142.58"
"2022-09-08","143.75","144.53","143.32","144.11"
"2022-09-07","142.79","144.99","142.72","143.75"
"2022-09-06","140.59","143.07","140.25","142.79"
"2022-09-05","140.22","140.66","140.05","140.59"
"2022-09-02","140.17","140.80","139.88","140.20"
"2022-09-01","138.96","140.23","138.77","140.20"
"2022-08-31","138.80","139.00","138.28","138.95"
"2022-08-30","138.72","139.06","138.05","138.79"
"2022-08-29","137.66","139.00","137.57","138.72"
"2022-08-26","136.51","137.74","136.36","137.57"
"2022-08-25","137.13","137.19","136.32","136.50"
"2022-08-24","136.77","137.24","136.19","137.13"
"2022-08-23","137.47","137.71","135.81","136.75"
"2022-08-22","136.86","137.65","136.71","137.51"
"2022-08-19","135.88","137.23","135.73","136.93"
"2022-08-18","135.17","135.91","134.65","135.89"
"2022-08-17","134.22","135.50","133.92","135.06"
"2022-08-16","133.32","134.66","132.97","134.23"
"2022-08-15","133.44","133.59","132.58","133.32"
"2022-08-12","133.02","133.89","132.88","133.45"
"2022-08-11","132.89","133.31","131.79","133.01"
"2022-08-10","135.12","135.29","132.03","132.88"
"2022-08-09","135.00","135.21","134.68","135.16"
"2022-08-08","134.97","135.54","134.36","135.01"
"2022-08-05","132.91","135.50","132.53","135.01"
"2022-08-04","133.86","134.41","132.78","132.94"
"2022-08-03","133.17","134.54","132.29","133.86"
"2022-08-02","131.61","133.19","130.40","133.17"
"2022-08-01","133.25","133.56","131.60","131.61"
"2022-07-29","134.26","134.67","132.51","133.24"
"2022-07-28","136.59","136.70","134.21","134.25"
"2022-07-27","136.91","137.44","136.32","136.60"
"2023-02-10","131.57","131.88","129.81","131.40"
"2023-02-14","132.42","133.30","131.51","133.12"
